year,strategy,spy,alpha
2007,0.37372650460008305,0.053322067265902495,0.32040443733418056
2008,0.28476850009268295,-0.3623680013115751,0.647136501404258
2009,0.20711683029187555,0.2265465364628927,-0.019429706171017136
2010,0.2019232883643336,0.13137373049033774,0.07054955787399586
2011,0.2767032096227706,0.008523466984957428,0.2681797426378132
2012,-0.05726534876779232,0.14170867118827557,-0.1989740199560679
2013,0.2616272443113947,0.2900145683941022,-0.0283873240827075
2014,0.14113755278035844,0.14561724969283452,-0.004479696912476072
2015,-0.136226667477076,0.012884828609185384,-0.1491114960862614
2016,0.0489464234367869,0.13585780744812426,-0.08691138401133736
2017,0.13048185818884117,0.2078142297703518,-0.07733237158151063
2018,0.04705747067438426,-0.052471918954238195,0.09952938962862246
2019,0.3559025839202963,0.3108747809353396,0.04502780298495668
2020,0.16253145375667444,0.1723521997476689,-0.009820745990994473
2021,0.3003054829343359,0.30505501436948723,-0.004749531435151333
2022,0.2606577417375515,-0.18646404705500563,0.44712178879255715
2023,0.3123615836608502,0.2670922178732349,0.04526936578761531
2024,0.3846140624548613,0.25589305693255837,0.12872100552230292
2025,0.6102837902078617,0.18889865753025137,0.42138513267761035
